Segment ID,p1,p2,p3,p4,p5,p6,p7,p8,p9
1,13.88244559,15.47555468,19.01799312,13.03590269,7.79500042,17.37351099,21.18301927,16.47981221,12.1113335
2,13.54550605,15.47863197,19.41056237,12.98254141,7.587366083,17.65760614,21.14557573,16.35439236,11.89405079
3,14.14597312,15.47866528,19.47609675,13.07599302,7.701587603,17.65064319,21.9223145,16.26002817,11.85212111
4,14.01159361,15.52914165,18.72259613,13.29717043,7.536602702,17.24504023,22.26239374,16.46950422,12.06062545
5,13.94370368,15.53288841,18.70198131,12.97033099,7.403896677,17.11458574,21.44135912,16.44780845,11.91981406
6,13.6334469,15.53318492,19.00879519,12.84112238,7.498686431,17.34787347,21.56463256,16.21319647,11.73041724
7,14.19698592,15.55404644,19.57030133,13.51657926,7.844052846,17.33053669,23.57252662,16.60745829,12.41600816
8,14.06788233,15.55799927,19.16422543,13.06196228,7.595966157,17.99963379,21.7896135,16.46988954,11.84827908
9,13.90706116,15.57901843,19.63906543,13.16521707,7.637411442,17.86859219,22.0596607,16.41986062,11.97250604
10,14.22994248,15.58055323,19.2796456,13.57034461,7.324481541,17.82909343,21.65641749,16.69416212,12.47582828
11,14.55505333,15.58436665,19.26143663,13.89845215,8.42157928,17.38024814,20.91412043,16.53996459,12.33674197
12,14.04241918,15.58888656,19.13767835,12.95350849,7.477443289,17.28688446,22.11098022,16.12315706,11.82085928
13,14.24372813,15.6295057,19.53747729,13.82682823,8.389342656,17.64713895,21.75435484,16.3819358,12.86914158
14,14.02291711,15.63154298,19.47263966,13.06287811,7.625931991,17.76773154,21.51295509,16.19360619,12.2166353
15,13.9519824,15.63634616,19.27138037,13.62808038,8.044910651,17.97648876,21.87132016,17.19988223,12.91563346
16,14.31881799,15.63730785,19.66263774,13.18906278,7.910990417,18.01612566,21.61622636,16.62723976,11.92312267
17,13.73137535,15.64506621,19.10532801,13.24841993,7.415600149,17.30236657,21.12033962,16.57596697,11.95801892
18,14.54898723,15.64679205,19.29925353,13.90661725,8.450472521,17.75982688,21.1960369,16.2420796,12.89302344
19,14.06349159,15.65785347,19.94977266,12.90746017,7.106973275,18.18776647,21.73811397,16.71960314,11.64775904
20,13.9494534,15.65919868,19.61578799,13.38067701,7.852837961,17.97710402,22.82912322,17.04700718,12.40766
21,14.08213031,15.66102605,19.8873513,13.56350176,7.92834964,17.91286784,22.64421417,17.05197077,12.62725757
22,14.21104152,15.66572988,19.52009603,13.81452101,8.331680511,17.80167705,21.47988094,16.78799559,12.95702399
23,13.92706278,15.66699059,19.93446095,13.3360806,8.040342928,18.0534613,22.72895435,16.86087548,12.26604123
24,14.01274601,15.67061473,18.92879981,13.1163096,7.750267515,17.51824742,21.91772146,16.63781746,11.99265613
25,14.06543572,15.69270667,19.37875137,13.47819117,8.030655182,17.35630435,21.99430804,16.50390047,12.45703436
26,14.25307863,15.70453395,18.98704217,13.45249948,8.063188237,17.60102711,21.10723213,17.1325509,12.3392008
27,13.88781668,15.71170063,19.40461551,13.00404034,7.230274351,17.94463558,21.60569873,16.94418104,11.71975442
28,13.80312819,15.71248433,19.78439076,13.48487607,7.343738775,17.64380576,21.94684766,16.66173991,12.53797814
29,14.19613098,15.7180041,18.92955774,13.34453007,7.011252528,18.21742509,22.07820922,16.65103583,12.13367275
30,14.13106621,15.72029345,19.34305474,13.6630666,7.692702003,17.46739934,21.63368999,16.2035248,12.82727357
31,14.45722499,15.72470278,20.02287165,13.70790889,8.761492985,17.88412033,23.14966227,16.79571362,12.64255312
32,14.23288435,15.72724239,19.57273845,13.87248486,8.722610928,17.71079535,21.27108125,16.80703638,12.97867284
33,14.34598787,15.72748129,19.22928825,13.71051723,7.542260456,17.84261017,22.38017227,16.59306144,12.81385667
34,14.11526195,15.73076085,19.55452592,12.93407407,7.03764514,18.03918893,22.70405378,16.63044282,11.57956185
35,14.21644037,15.7378711,19.55400549,14.05888616,7.892207258,17.62035786,21.91521137,16.5186255,13.2854629
36,14.43561531,15.74226064,19.82190042,13.4738227,8.149089645,17.98787916,22.32436184,17.04743904,12.17429235
37,14.449335,15.7440088,19.26572953,13.44297848,7.578228099,17.80912426,21.17924074,16.56797195,12.57461874
38,14.64314817,15.75406466,19.36154999,13.97784281,8.205672717,17.76788069,21.68413838,16.51319616,12.57481438
39,14.88179492,15.76808251,19.35804879,14.10085383,8.204854457,17.78332857,22.22388388,16.89327974,12.72127217
40,14.13370567,15.78389252,19.34244814,12.92920927,7.695096569,17.47165022,21.60386008,16.70849355,11.62429773
41,14.37529296,15.78730256,19.01422705,13.33455632,7.83730667,17.44269781,21.71851591,16.53662207,12.09841448
42,14.09344697,15.78826681,19.68468053,13.4599749,8.005415875,17.56095608,22.99125937,16.67587111,12.49665854
43,14.02092806,15.79858313,19.13545385,13.05958001,7.641568012,17.84254843,20.67200228,16.61827839,11.75041738
44,14.31743798,15.8000801,20.04700949,13.85879446,8.223057474,18.44413652,22.19621251,16.95266269,12.7013203
45,14.85247176,15.80373482,19.94976238,13.94818598,7.94201273,18.3795107,22.92789498,16.72925063,12.45668081
46,14.76221143,15.80650506,20.28853259,13.85028187,8.206880061,17.925046,22.22625963,16.36192818,12.26612426
47,14.30834235,15.80711817,19.36526263,13.52127821,8.249512309,17.8140382,22.85215596,16.82115208,12.41476794
48,14.2875407,15.80748492,19.7783642,13.71120676,8.057327234,17.96193041,22.44849684,16.70850725,12.51536754
49,14.50154535,15.80892854,20.09078048,13.9704419,8.617763085,18.30444038,21.82818427,16.8293938,12.98295818
50,14.37848437,15.8146672,19.03319037,13.52486941,7.350550249,18.01651332,21.91301159,16.96204371,12.1487674
51,13.87481121,15.81699812,18.44847079,13.01993768,7.665454477,17.14068312,21.78286314,16.45932422,12.05926239
52,14.12430926,15.81859765,19.17875353,13.35581187,7.533689703,17.94381355,20.69712619,16.51595401,12.33605271
53,14.00583919,15.82615981,19.47284943,13.18217722,7.624194277,17.9669018,21.8524723,16.56755934,11.85498233
54,14.78985981,15.83948863,19.64800701,14.08510918,8.056109621,17.52385524,21.76728675,16.9280016,12.30622301
55,14.34540295,15.84244973,20.421711,13.46882799,7.659938611,18.43108208,22.98138615,17.07347448,12.37778652
56,14.65241977,15.84434751,19.90817231,13.95939124,8.375118753,17.71734602,22.92338187,16.79530581,12.49783944
57,14.03798944,15.84490823,19.65724918,13.16369192,7.786328457,18.07451142,22.17717444,16.95295224,12.07731525
58,14.01275578,15.8520451,19.47241567,13.13213085,7.229536947,17.23270013,21.63025326,16.26733008,11.78232285
59,13.97713384,15.85627707,19.01148348,12.96028757,7.339006917,17.37841255,21.63149301,16.64085779,11.68110247
60,13.97797728,15.85851933,19.0264312,13.25811246,7.850058876,17.73269622,22.11334673,17.03438375,12.16432468
61,13.81437777,15.8637067,18.66177295,13.17600819,7.462182057,17.07578808,21.96588371,16.79611063,11.98371551
62,14.29583712,15.86474911,19.54519796,13.64736863,9.409941666,17.41885003,22.76280577,16.43714034,12.66856229
63,14.92017905,15.86536204,19.15988912,13.98192318,8.164673446,17.75258507,22.39323501,16.71370583,12.76046582
64,14.44624169,15.86538688,19.13229703,13.76850995,7.923501922,18.14802851,21.6064658,16.82330434,12.74268609
65,14.09468357,15.86751796,19.65041869,13.16999673,7.141192194,17.48805275,21.51916592,16.84275757,11.91616665
66,14.6841753,15.87554143,19.854571,14.00991473,7.848898471,18.02375674,21.77127186,17.0349575,12.56814687
67,14.06336919,15.87654841,19.92219347,13.571732,7.614147129,18.17583579,22.09481208,17.18133288,12.61057815
68,14.50249921,15.87873202,20.06275302,13.40775665,7.808511237,18.3212271,22.53370194,17.08224632,12.33952112
69,14.03990736,15.88052888,19.11364398,13.08425666,7.280767544,17.7244513,21.4992823,16.95884274,12.00243272
70,14.44377654,15.88276966,19.70171031,13.68568647,7.794098819,18.43730659,21.16091999,17.05333015,12.44229344
71,14.26363375,15.88321988,19.97803814,13.59370305,7.652427319,17.97456953,23.21313169,17.15625007,12.580105
72,14.1972191,15.88989531,19.28892558,13.37931935,7.853330798,17.59283608,21.48212651,16.82127724,12.18911825
73,13.92099196,15.89116261,19.36177656,13.4615015,7.633443385,17.63158052,23.23009043,16.8849606,12.46565741
74,14.75568166,15.89286571,19.34733405,13.51618892,7.42352194,17.40807651,23.21381299,16.28369177,12.3689546
75,14.27579981,15.89468028,18.59790968,13.46521894,7.621313887,17.68197261,20.22759827,16.8610734,12.26936255
76,14.1825914,15.89617302,19.69683726,13.48633759,7.879018262,18.54464057,22.20148405,17.17316021,12.32547682
77,14.29458418,15.899313,19.87338124,13.75138458,8.301043234,17.99388068,22.30844512,16.80136591,12.90973547
78,14.09318189,15.90611494,19.44454655,13.81346867,8.500983797,17.28915869,22.22687715,16.78924805,12.74016176
79,14.92963221,15.90829094,19.59187719,14.00184387,8.17439846,18.56610527,22.37270646,17.34189023,12.58066929
80,14.18099541,15.90911982,20.02247075,13.47892759,7.655287942,18.53338125,22.49210009,17.07625595,12.65597704
81,14.41006461,15.91524671,19.15710692,13.12207241,7.529240522,17.2771553,21.56811451,16.37463205,11.93103044
82,14.58151281,15.91735951,19.72897725,14.02704106,8.563244545,18.02976478,22.05334003,16.61348462,12.76373148
83,14.96727691,15.92082143,20.24875069,14.13503296,8.052692876,17.79970341,21.80963285,16.74681254,12.44876317
84,14.7102119,15.92494089,19.99389289,14.03563424,8.229992222,17.48648736,22.59871756,16.61663391,12.77483844
85,14.07161055,15.93293912,19.15225005,13.10649222,7.395324317,17.83461392,21.40968701,17.05172682,11.92207435
86,14.38071649,15.93987447,19.15924853,13.54808778,7.899388387,17.33066631,21.07121075,16.50359857,12.16364502
87,14.14388642,15.94623442,19.7094275,13.31607382,7.773727697,17.79322096,22.57277953,16.86748647,12.445286
88,14.25040948,15.95476518,19.69998431,13.47365386,7.842999165,17.84988176,23.2519812,16.78344745,12.60931264
89,14.62702387,15.95510309,19.47366566,13.87472265,7.996420842,17.78275299,21.89733658,16.79102096,12.94821789
90,14.80383704,15.97450759,20.2167114,13.87602608,8.071741112,17.94040633,22.22520715,16.84882306,12.4275937
91,14.30154052,15.97734933,19.7625746,13.64306373,7.832035932,17.61601049,21.67211831,16.87790006,12.08103758
92,14.82041146,15.98506682,20.514345,14.15502935,8.14569014,18.41356063,22.61251754,17.04280452,12.72937962
93,14.81714406,15.9875042,19.52260513,13.91682392,8.269449993,17.50345373,22.30391795,16.73207175,12.34720527
94,14.35141553,15.99223183,20.0837637,13.31202413,8.055581297,17.87456768,21.30510292,16.85259619,11.90316635
